LATITUDE,LONGITUDE,ELEVATION,TAVG,YEAR,MONTH,DAY,DAY_OF_WEEK,DAY_OF_YEAR
27.15,33.7167,16.0,20.6,2000,1,1,5,1
27.15,33.7167,16.0,19.7,2000,1,2,6,2
27.15,33.7167,16.0,20.9,2000,1,3,0,3
27.15,33.7167,16.0,17.3,2000,1,4,1,4
27.15,33.7167,16.0,14.6,2000,1,5,2,5
27.15,33.7167,16.0,14.2,2000,1,6,3,6
27.15,33.7167,16.0,15.3,2000,1,7,4,7
27.15,33.7167,16.0,15.7,2000,1,8,5,8
27.15,33.7167,16.0,15.6,2000,1,9,6,9
27.15,33.7167,16.0,15.7,2000,1,10,0,10
27.15,33.7167,16.0,14.9,2000,1,11,1,11
27.15,33.7167,16.0,15.2,2000,1,12,2,12
27.15,33.7167,16.0,15.3,2000,1,13,3,13
27.15,33.7167,16.0,16.4,2000,1,14,4,14
27.15,33.7167,16.0,18.9,2000,1,15,5,15
27.15,33.7167,16.0,16.7,2000,1,16,6,16
27.15,33.7167,16.0,15.9,2000,1,17,0,17
27.15,33.7167,16.0,15.4,2000,1,18,1,18
27.15,33.7167,16.0,15.6,2000,1,19,2,19
27.15,33.7167,16.0,15.3,2000,1,20,3,20
27.15,33.7167,16.0,15.5,2000,1,21,4,21
27.15,33.7167,16.0,14.8,2000,1,22,5,22
27.15,33.7167,16.0,15.0,2000,1,23,6,23
27.15,33.7167,16.0,17.2,2000,1,24,0,24
27.15,33.7167,16.0,19.2,2000,1,25,1,25
27.15,33.7167,16.0,17.0,2000,1,26,2,26
27.15,33.7167,16.0,15.8,2000,1,27,3,27
27.15,33.7167,16.0,11.4,2000,1,28,4,28
27.15,33.7167,16.0,11.8,2000,1,29,5,29
27.15,33.7167,16.0,13.2,2000,1,30,6,30
27.15,33.7167,16.0,14.8,2000,1,31,0,31
27.15,33.7167,16.0,15.3,2000,2,1,1,32
27.15,33.7167,16.0,16.4,2000,2,2,2,33
27.15,33.7167,16.0,16.7,2000,2,3,3,34
27.15,33.7167,16.0,16.3,2000,2,4,4,35
27.15,33.7167,16.0,16.6,2000,2,5,5,36
27.15,33.7167,16.0,15.5,2000,2,6,6,37
27.15,33.7167,16.0,15.3,2000,2,7,0,38
27.15,33.7167,16.0,15.8,2000,2,8,1,39
27.15,33.7167,16.0,16.0,2000,2,9,2,40
27.15,33.7167,16.0,16.1,2000,2,10,3,41
27.15,33.7167,16.0,16.6,2000,2,11,4,42
27.15,33.7167,16.0,17.7,2000,2,12,5,43
27.15,33.7167,16.0,17.1,2000,2,13,6,44
27.15,33.7167,16.0,16.3,2000,2,14,0,45
27.15,33.7167,16.0,17.3,2000,2,15,1,46
27.15,33.7167,16.0,16.6,2000,2,16,2,47
27.15,33.7167,16.0,16.6,2000,2,17,3,48
27.15,33.7167,16.0,17.1,2000,2,18,4,49
27.15,33.7167,16.0,18.0,2000,2,19,5,50
27.15,33.7167,16.0,16.6,2000,2,20,6,51
27.15,33.7167,16.0,16.1,2000,2,21,0,52
27.15,33.7167,16.0,17.9,2000,2,22,1,53
27.15,33.7167,16.0,15.8,2000,2,23,2,54
27.15,33.7167,16.0,15.8,2000,2,24,3,55
27.15,33.7167,16.0,16.6,2000,2,25,4,56
27.15,33.7167,16.0,16.0,2000,2,26,5,57
27.15,33.7167,16.0,15.9,2000,2,27,6,58
27.15,33.7167,16.0,15.9,2000,2,28,0,59
27.15,33.7167,16.0,16.6,2000,2,29,1,60
27.15,33.7167,16.0,16.5,2000,3,1,2,61
27.15,33.7167,16.0,14.8,2000,3,2,3,62
27.15,33.7167,16.0,17.4,2000,3,3,4,63
27.15,33.7167,16.0,18.2,2000,3,4,5,64
27.15,33.7167,16.0,17.3,2000,3,5,6,65
27.15,33.7167,16.0,18.8,2000,3,6,0,66
27.15,33.7167,16.0,15.9,2000,3,7,1,67
27.15,33.7167,16.0,14.3,2000,3,8,2,68
27.15,33.7167,16.0,15.3,2000,3,9,3,69
27.15,33.7167,16.0,16.7,2000,3,10,4,70
27.15,33.7167,16.0,17.3,2000,3,11,5,71
27.15,33.7167,16.0,18.1,2000,3,12,6,72
27.15,33.7167,16.0,19.2,2000,3,13,0,73
27.15,33.7167,16.0,19.3,2000,3,14,1,74
27.15,33.7167,16.0,19.1,2000,3,15,2,75
27.15,33.7167,16.0,19.0,2000,3,16,3,76
27.15,33.7167,16.0,19.1,2000,3,17,4,77
