LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,YEAR,MONTH,DAY,DAY_OF_WEEK,DAY_OF_YEAR
28.083,30.733,40.0,2003-07-18,28.0,2003,7,18,4,199
23.9667,32.7831,200.0,2017-11-23,18.6,2017,11,23,3,327
31.073,33.836,36.9,2007-04-14,17.2,2007,4,14,5,104
28.083,30.733,40.0,2017-06-21,28.6,2017,6,21,2,172
31.567,25.133,6.0,2002-04-13,26.8,2002,4,13,5,103
31.184,29.949,-1.8,2008-10-11,24.4,2008,10,11,5,285
31.3331,27.2167,25.0,2011-07-14,26.5,2011,7,14,3,195
31.073,33.836,36.9,2006-03-06,13.9,2006,3,6,0,65
25.45,30.533,73.0,2023-08-03,36.5,2023,8,3,3,215
31.184,29.949,-1.8,2001-05-25,25.2,2001,5,25,4,145
27.05,27.983,78.0,2001-02-05,15.6,2001,2,5,0,36
23.9667,32.7831,200.0,2003-05-03,31.7,2003,5,3,5,123
25.45,30.533,73.0,2015-02-28,19.7,2015,2,28,5,59
29.2,25.3167,-15.0,2017-01-07,12.1,2017,1,7,5,7
26.2,32.75,96.0,2007-05-24,31.2,2007,5,24,3,144
29.2,25.3167,-15.0,2018-05-29,27.1,2018,5,29,1,149
27.15,33.7167,16.0,2021-09-17,28.6,2021,9,17,4,260
31.3331,27.2167,25.0,2003-10-30,20.3,2003,10,30,3,303
31.567,25.133,6.0,2002-11-15,16.7,2002,11,15,4,319
23.133,35.583,21.0,2018-06-05,29.4,2018,6,5,1,156
27.15,33.7167,16.0,2007-10-14,27.1,2007,10,14,6,287
31.3331,27.2167,25.0,2006-06-15,22.6,2006,6,15,3,166
23.133,35.583,21.0,2007-03-06,22.3,2007,3,6,1,65
31.184,29.949,-1.8,2000-09-25,26.1,2000,9,25,0,269
25.45,30.533,73.0,2016-02-11,14.3,2016,2,11,3,42
31.073,33.836,36.9,2016-05-01,23.1,2016,5,1,6,122
31.073,33.836,36.9,2017-01-19,12.4,2017,1,19,3,19
23.9667,32.7831,200.0,2023-12-27,18.3,2023,12,27,2,361
23.133,35.583,21.0,2006-08-05,33.1,2006,8,5,5,217
29.2,25.3167,-15.0,2003-12-18,11.2,2003,12,18,3,352
26.2,32.75,96.0,2005-12-09,18.8,2005,12,9,4,343
28.083,30.733,40.0,2018-10-10,24.1,2018,10,10,2,283
27.05,27.983,78.0,2006-04-19,24.7,2006,4,19,2,109
28.083,30.733,40.0,2013-08-03,31.5,2013,8,3,5,215
27.05,27.983,78.0,2012-11-30,16.8,2012,11,30,4,335
25.45,30.533,73.0,2006-04-14,27.9,2006,4,14,4,104
27.05,27.983,78.0,2012-11-17,18.7,2012,11,17,5,322
31.184,29.949,-1.8,2023-04-11,19.7,2023,4,11,1,101
28.083,30.733,40.0,2011-11-02,18.8,2011,11,2,2,306
25.45,30.533,73.0,2021-03-04,13.9,2021,3,4,3,63
28.083,30.733,40.0,2017-06-12,28.5,2017,6,12,0,163
31.184,29.949,-1.8,2007-01-26,12.8,2007,1,26,4,26
27.15,33.7167,16.0,2000-12-22,16.7,2000,12,22,4,357
23.133,35.583,21.0,2017-04-17,24.9,2017,4,17,0,107
23.9667,32.7831,200.0,2008-12-25,13.6,2008,12,25,3,360
29.2,25.3167,-15.0,2010-12-22,14.0,2010,12,22,2,356
28.083,30.733,40.0,2023-11-22,17.4,2023,11,22,2,326
27.15,33.7167,16.0,2005-02-03,15.8,2005,2,3,3,34
31.073,33.836,36.9,2008-10-23,21.4,2008,10,23,3,297
28.083,30.733,40.0,2001-07-12,31.7,2001,7,12,3,193
28.083,30.733,40.0,2001-07-04,28.2,2001,7,4,2,185
23.133,35.583,21.0,2008-04-30,24.3,2008,4,30,2,121
23.133,35.583,21.0,2005-03-12,22.1,2005,3,12,5,71
31.3331,27.2167,25.0,2020-12-09,15.8,2020,12,9,2,344
28.083,30.733,40.0,2005-12-28,10.0,2005,12,28,2,362
31.3331,27.2167,25.0,2016-08-12,27.8,2016,8,12,4,225
28.083,30.733,40.0,2022-10-25,21.3,2022,10,25,1,298
25.4831,29.0,107.0,2000-12-02,17.4,2000,12,2,5,337
31.567,25.133,6.0,2023-06-24,25.4,2023,6,24,5,175
27.05,27.983,78.0,2015-04-23,17.5,2015,4,23,3,113
28.083,30.733,40.0,2016-07-23,30.2,2016,7,23,5,205
31.184,29.949,-1.8,2019-02-08,13.8,2019,2,8,4,39
27.15,33.7167,16.0,2018-11-20,23.1,2018,11,20,1,324
31.073,33.836,36.9,2012-11-09,21.6,2012,11,9,4,314
27.05,27.983,78.0,2015-11-16,20.1,2015,11,16,0,320
27.05,27.983,78.0,2014-11-16,17.4,2014,11,16,6,320
23.133,35.583,21.0,2003-08-25,31.6,2003,8,25,0,237
28.083,30.733,40.0,2012-11-16,19.6,2012,11,16,4,321
31.567,25.133,6.0,2012-06-03,21.4,2012,6,3,6,155
31.3331,27.2167,25.0,2015-12-01,16.6,2015,12,1,1,335
23.133,35.583,21.0,2022-10-29,27.8,2022,10,29,5,302
23.133,35.583,21.0,2004-06-26,29.9,2004,6,26,5,178
29.2,25.3167,-15.0,2007-06-03,28.6,2007,6,3,6,154
25.45,30.533,73.0,2022-03-21,19.9,2022,3,21,0,80
31.3331,27.2167,25.0,2017-08-03,26.7,2017,8,3,3,215
27.05,27.983,78.0,2008-12-26,10.7,2008,12,26,4,361
28.083,30.733,40.0,2020-09-29,32.2,2020,9,29,1,273
23.133,35.583,21.0,2017-03-06,21.8,2017,3,6,0,65
25.4831,29.0,107.0,2008-12-01,19.2,2008,12,1,0,336
23.9667,32.7831,200.0,2000-09-26,33.3,2000,9,26,1,270
23.9667,32.7831,200.0,2017-04-09,30.5,2017,4,9,6,99
26.2,32.75,96.0,2006-10-26,24.5,2006,10,26,3,299
25.45,30.533,73.0,2002-10-08,28.4,2002,10,8,1,281
28.083,30.733,40.0,2016-04-27,23.3,2016,4,27,2,118
23.9667,32.7831,200.0,2007-05-31,31.8,2007,5,31,3,151
26.2,32.75,96.0,2014-01-18,16.0,2014,1,18,5,18
31.073,33.836,36.9,2015-09-29,27.4,2015,9,29,1,272
29.2,25.3167,-15.0,2017-07-17,34.2,2017,7,17,0,198
31.184,29.949,-1.8,2004-07-10,27.4,2004,7,10,5,192
31.073,33.836,36.9,2000-11-05,18.9,2000,11,5,6,310
25.45,30.533,73.0,2020-01-11,13.3,2020,1,11,5,11
25.45,30.533,73.0,2018-08-29,32.3,2018,8,29,2,241
23.9667,32.7831,200.0,2017-02-15,14.5,2017,2,15,2,46
25.45,30.533,73.0,2002-01-31,16.9,2002,1,31,3,31
28.083,30.733,40.0,2016-03-24,22.5,2016,3,24,3,84
31.184,29.949,-1.8,2009-10-29,22.2,2009,10,29,3,302
31.073,33.836,36.9,2012-10-19,22.7,2012,10,19,4,293
28.083,30.733,40.0,2009-01-21,15.0,2009,1,21,2,21
31.3331,27.2167,25.0,2009-09-29,24.6,2009,9,29,1,272
25.45,30.533,73.0,2001-01-11,15.3,2001,1,11,3,11
31.073,33.836,36.9,2010-05-14,23.8,2010,5,14,4,134
23.9667,32.7831,200.0,2017-10-26,27.2,2017,10,26,3,299
23.9667,32.7831,200.0,2009-04-30,30.8,2009,4,30,3,120
31.3331,27.2167,25.0,2006-07-21,25.4,2006,7,21,4,202
27.05,27.983,78.0,2019-01-11,14.4,2019,1,11,4,11
31.3331,27.2167,25.0,2020-11-24,18.9,2020,11,24,1,329
31.567,25.133,6.0,2006-07-01,27.8,2006,7,1,5,182
25.45,30.533,73.0,2007-01-01,13.4,2007,1,1,0,1
31.073,33.836,36.9,2024-08-03,30.6,2024,8,3,5,216
27.15,33.7167,16.0,2012-02-01,16.6,2012,2,1,2,32
31.3331,27.2167,25.0,2016-01-05,16.3,2016,1,5,1,5
26.2,32.75,96.0,2024-06-26,38.4,2024,6,26,2,178
31.184,29.949,-1.8,2019-09-10,27.3,2019,9,10,1,253
